판매일,기간,차량/세부모델,미션,연식,연료,주행거리,색상,가격,옵션
,,,,[ 2009 ],,,,,
2021-08-31,40?일,?포터2 카고(CRDI) 초장축 일반캡 모던 [무],오토,2018.05,경유,"19,800",청색,11,옵션
,,,,[ 2018 ],,,,,
2021-08-31,40?일,?더프레스티지K7 2.4 GDI 럭셔리,오토,2011.12,휘발유,"131,000",검정색,480,옵션
,,,,[ 2012 ],,,,,
2021-08-31,39?일,?더뉴제네시스쿠페 200 Turbo D [무],오토,2012.03,휘발유,"159,000",쥐색,799,옵션
,,,,[ 2012 ],,,,,
2021-08-31,39?일,?모닝 LX [무],오토,2007.02,휘발유,"62,656",흰색,190,옵션
,,,,[ 2007 ],,,,,
2021-08-31,39?일,?아반떼AD 1.6 VGT 스마트,오토,2017.01,경유,"112,000",흰색,"1,200",옵션
,,,,[ 2017 ],,,,,
2021-08-31,36?일,?싼타페 더 프라임 E-VGT R2.0 4WD 프리미엄 [무],오토,2015.09,경유,"116,000",흰색,"1,790",옵션
,,,,[ 2016 ],,,,,
2021-08-31,35?일,?LF소나타 하이브리드 2.0 프리미엄,오토,2015.08,휘발유 하이브리드,"102,947",흰색,"1,100",옵션
,,,,[ 2016 ],,,,,
2021-08-31,35?일,?레이 프레스티지 [무],오토,2012.04,휘발유,"144,915",베이지색,620,옵션
,,,,[ 2012 ],,,,,
2021-08-31,35?일,?올뉴쏘렌토 2WD 2.0 프레스티지 [무],오토,2014.11,경유,"188,266",검정색,"9,999",옵션
,,,,[ 2015 ],,,,,
2021-08-31,35?일,?아반떼AD 1.6 GDI 밸류 플러스 [무],오토,2017.10,휘발유,"60,000",흰색,"1,399",옵션
,,,,[ 2018 ],,,,,
2021-08-31,34?일,?뉴티구안 2.0 TDI 프리미엄 [무],오토,2011.09,경유,"119,000",흰색,"1,190",옵션
,,,,[ 2012 ],,,,,
2021-08-31,32?일,?아반떼MD 1.6GDI 스타일 [무],오토,2012.10,휘발유,"109,420",은회색,11,옵션
,,,,[ 2013 ],,,,,
2021-08-31,29?일,?봉고3트럭 1.2톤 초장축 킹캡 CRDi 프레스티지 [무],수동,2017.09,경유,"37,388",청색,"1,580",옵션
,,,,[ 2018 ],,,,,
2021-08-31,29?일,?더뉴K9 5.0 GDI 퀀텀 [무],오토,2015.02,휘발유,"80,757",흰색,"3,090",옵션
,,,,[ 2015 ],,,,,
2021-08-31,29?일,?코란도스포츠 익스트림 4WD [무],오토,2016.03,경유,"102,492",흰색,"1,290",옵션
,,,,[ 2016 ],,,,,
2021-08-31,29?일,?올란도 LPGI LT 프리미엄,오토,2012.05,LPG,"100,000",쥐색,779,옵션
,,,,[ 2012 ],,,,,
2021-08-31,28?일,?뉴3-SERIES 320I 세단 [무],오토,2006.08,휘발유,"142,543",은색,290,옵션
,,,,[ 2006 ],,,,,
2021-08-31,28?일,?G90 3.8 GDI AWD 프레스티지 [무],오토,2019.08,휘발유,"80,388",검정색,"9,999",옵션
,,,,[ 2019 ],,,,,
2021-08-31,28?일,?어메이징 뉴 크루즈 1.4 터보 LTZ,오토,2015.08,휘발유,"70,000",검정색,859,옵션
,,,,[ 2015 ],,,,,
2021-08-31,27?일,?올뉴모닝 디럭스 [무],오토,2012.02,휘발유,"170,000",흰색,290,옵션
,,,,[ 2012 ],,,,,
2021-08-31,27?일,?뉴모닝 SLX,오토,2009.06,휘발유,"140,108",하늘색,180,옵션
,,,,[ 2009 ],,,,,
2021-08-31,27?일,?7-SERIES(G11) 730D XDRIVE M 스포츠,오토,2019.02,경유,"45,000",다크그레이,"7,500",옵션
,,,,[ 2018 ],,,,,
2021-08-31,27?일,?더뉴쏘렌토 디젤 2.0 2WD 마스터 [무],오토,2018.06,경유,"151,000",다크그레이,"1,920",옵션
,,,,[ 2018 ],,,,,
2021-08-31,26?일,?더 뉴 아반떼 1.6 GDI 모던,오토,2015.04,휘발유,"166,005",하늘색,620,옵션
,,,,[ 2016 ],,,,,
2021-08-31,26?일,?4세대(MQ4) 디젤 2.2 4WD 노블레스 [무],오토,2020.06,경유,"1,765",청색,"4,290",옵션
,,,,[ 2021 ],,,,,
2021-08-31,26?일,?더프레스티지K7 2.4 GDI 럭셔리,오토,2011.10,휘발유,"139,000",검정색,580,옵션
,,,,[ 2012 ],,,,,
2021-08-31,25?일,?레이 럭셔리 [무],오토,2013.03,휘발유,"140,000",흰색,559,옵션
,,,,[ 2013 ],,,,,
2021-08-31,25?일,?그랜저TG뉴럭셔리 Q270 프리미어 스마트팩 [무],오토,2009.02,휘발유,"135,216",검정색,290,옵션
,,,,[ 2009 ],,,,,
2021-08-31,25?일,?더 넥스트 스파크 ECO LS [무],오토,2015.12,휘발유,"56,000",흰색,600,옵션
,,,,[ 2016 ],,,,,
2021-08-31,22?일,?카니발R 뉴 GX 고급형 [무],오토,2011.12,경유,"142,224",흰색,680,옵션
,,,,[ 2011 ],,,,,
2021-08-31,22?일,?그랜드스타렉스밴 3인 CVX 럭셔리 [무],오토,2015.03,경유,"70,000",은색,"1,530",옵션
,,,,[ 2015 ],,,,,
2021-08-31,22?일,?포터2 내장탑 하이탑 초장축 슈퍼캡(CRDI) [무],오토,2013.06,경유,"91,200",흰색,"1,100",옵션
,,,,[ 2013 ],,,,,
2021-08-31,22?일,?K9 3.3 GDI 노블레스 스페셜 [무],오토,2012.06,휘발유,"170,000",검정색,11,옵션
,,,,[ 2013 ],,,,,
2021-08-31,22?일,?올 뉴 카니발 7인승 리무진 VIP [무],오토,2016.08,경유,"137,000",검정색,"1,770",옵션
,,,,[ 2017 ],,,,,
2021-08-31,21?일,?올 뉴 카니발 7인승 하이리무진 프레지던트 [무],오토,2015.11,경유,"143,959",검정색,"9,999",옵션
,,,,[ 2016 ],,,,,
2021-08-31,21?일,?소나타하이브리드 YF HEV ROYAL [무],오토,2011.12,휘발유 하이브리드,"212,263",흰색,580,옵션
,,,,[ 2012 ],,,,,
2021-08-31,22?일,?YF소나타 PREMIER [무],오토,2012.01,휘발유,"80,712",쥐색,650,옵션
,,,,[ 2012 ],,,,,
2021-08-31,20?일,?더뉴K7 2.4 GDI 프레스티지 스페셜 [무],오토,2013.04,휘발유,"170,245",흰색,10,옵션
,,,,[ 2013 ],,,,,
