,index,이름,제조회사,모델명,세부모델,가격,배기량,연식,색상,주행거리,변속기,연료,차종,압류/저당,구동방식,사고유무,전손이력,생산지,신차가격,감가상각률,감가상각액(1년),2023년(예상),2024년(예상),2025년(예상),2026년(예상),2027년(예상),2028년(예상),2029년(예상),2030년(예상),현재가_감가율적용,1년후_감가율적용,2년후_감가율적용,3년후_감가율적용,4년후_감가율적용,5년후_감가율적용,현재가치_잔존가치,1년후_잔존가치,2년후_잔존가치,3년후_잔존가치,4년후_잔존가치,5년후_잔존가치,현재가치_판매이득가치,1년후_판매이득가치,2년후_판매이득가치,3년후_판매이득가치,4년후_판매이득가치,5년후_판매이득가치
10,10,쌍용 티볼리 에어 가솔린 1.6 RX 2WD,쌍용,티볼리,티볼리 에어,1580,1597,2017,흰색,45533,자동,휘발유,SUV,0,전륜,0,0,국산차,2250,7.9,178,1402,1224,1046,868,690,512,334,156,2072,1894,1716,1538,1360,1182,1631,1382,1166,983,828,700,441,512,550,555,532,482
11,11,쉐보레(GM대우) 크루즈 1.8 LTZ+,쉐보레,크루즈,크루즈,670,1796,2014,검정색,54516,자동,휘발유,준중형차,0,전륜,1,0,국산차,2100,8.1,170,500,330,160,0,0,0,0,0,1930,1760,1590,1420,1250,1080,1523,1289,1088,918,773,653,407,471,502,502,477,427
12,12,현대 아반떼 MD M16 GDI 스마트,현대,아반떼,아반떼MD,710,1591,2014,흰색,87805,자동,휘발유,준중형차,0,전륜,1,0,국산차,1700,7.3,124,586,462,338,214,90,0,0,0,1576,1452,1328,1204,1080,956,1233,1044,881,743,626,529,343,408,447,461,454,427
13,13,르노삼성 캡처 가솔린 1.3 에디션 파리,르노삼성,캡처,캡처,2090,1332,2020,흰색,40819,자동,휘발유,SUV,0,전륜,0,0,국산차,2800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,14,현대 쏘나타 뉴 라이즈 LPI 스타일,현대,쏘나타,쏘나타 뉴 라이즈,1520,1999,2019,흰색,57424,자동,LPG,중형차,0,전륜,0,0,국산차,2600,8.7,226,1294,1068,842,616,390,164,0,0,2374,2148,1922,1696,1470,1244,1885,1596,1347,1136,957,809,489,552,575,560,513,435
15,15,기아 K3 트렌디,기아,K3,K3 (12~15년),790,1591,2014,은색,80545,자동,휘발유,준중형차,0,전륜,1,0,국산차,2000,10,200,590,390,190,0,0,0,0,0,1800,1600,1400,1200,1000,800,1450,1228,1036,874,736,622,350,372,364,326,264,178
16,16,쉐보레(GM대우) 더 뉴 트랙스 1.4 프리미어,쉐보레,트랙스,더 뉴 트랙스,1650,1362,2019,흰색,27164,자동,휘발유,SUV,0,전륜,0,0,국산차,2000,7.3,146,1504,1358,1212,1066,920,774,628,482,1854,1708,1562,1416,1270,1124,1450,1228,1036,874,736,622,404,480,526,542,534,502
17,17,기아 올 뉴 프라이드 1.6 GDI 해치백 럭셔리,기아,프라이드,올 뉴 프라이드 (11~15년),690,1591,2012,흰색,74199,자동,휘발유,소형차,0,전륜,0,0,국산차,1600,6.8,109,581,472,363,254,145,36,0,0,1491,1382,1273,1164,1055,946,1160,982,829,699,589,498,331,400,444,465,466,448
18,18,쌍용 티볼리 아머 LX 2WD,쌍용,티볼리,티볼리 아머,1550,1597,2018,흰색,41223,자동,휘발유,SUV,0,전륜,0,0,국산차,2250,7.9,178,1372,1194,1016,838,660,482,304,126,2072,1894,1716,1538,1360,1182,1631,1382,1166,983,828,700,441,512,550,555,532,482
19,19,르노삼성 SM7 노바 LE,르노삼성,SM7,SM7 노바,1180,2495,2015,쥐색,69961,자동,휘발유,대형차,0,전륜,0,0,국산차,3300,10,330,850,520,190,0,0,0,0,0,2970,2640,2310,1980,1650,1320,2393,2026,1709,1442,1214,1026,577,614,601,538,436,294
20,20,기아 더 뉴 K5 2세대 2.0 노블레스,기아,K5,더 뉴 K5 (18~20년),1850,1999,2019,검정색,73769,자동,휘발유,중형차,0,전륜,0,0,국산차,2700,9.8,265,1585,1320,1055,790,525,260,0,0,2435,2170,1905,1640,1375,1110,1958,1658,1399,1180,994,840,477,512,506,460,381,270
22,22,제네시스 G80 3.3 GDI AWD 프리미엄 럭셔리,제네시스,제네시스,G80,3200,3342,2017,쥐색,64142,자동,휘발유,대형차,0,4륜,0,0,국산차,6117,13.6,832,2368,1536,704,0,0,0,0,0,5285,4453,3621,2789,1957,1125,4435,3756,3169,2673,2251,1902,850,697,452,116,0,0
23,23,기아 더 뉴 쏘렌토 디젤 2.2 4WD 노블레스,기아,쏘렌토,더 뉴 쏘렌토 (17~20년),2390,2199,2018,은색,83200,자동,경유,SUV,0,4륜,0,0,국산차,3200,9.1,291,2099,1808,1517,1226,935,644,353,62,2909,2618,2327,2036,1745,1454,2320,1965,1658,1398,1178,995,589,653,669,638,567,459
24,24,기아 스포티지 더 볼드 디젤 2.0 2WD 프레스티지,기아,스포티지,스포티지 더 볼드 (18년~현재),1650,1995,2019,쥐색,121821,자동,경유,SUV,0,전륜,0,0,국산차,3000,8.5,255,1395,1140,885,630,375,120,0,0,2745,2490,2235,1980,1725,1470,2175,1842,1554,1311,1104,933,570,648,681,669,621,537
27,27,BMW 5시리즈 (G30) 520i M 스포츠,BMW,5시리즈,5시리즈 7세대 (17년~현재),5790,1998,2021,흰색,18137,자동,휘발유,중형차,0,후륜,0,0,외제차,8000,9.4,752,5038,4286,3534,2782,2030,1278,526,0,7248,6496,5744,4992,4240,3488,5832,4840,4000,3296,2720,2248,1416,1656,1744,1696,1520,1240
28,28,현대 싼타페 더 프라임 디젤 2.2 2WD 프리미엄,현대,싼타페,싼타페 더 프라임,1960,2199,2016,쥐색,53218,자동,경유,SUV,0,전륜,0,0,국산차,3400,9.4,320,1640,1320,1000,680,360,40,0,0,3080,2760,2440,2120,1800,1480,2465,2088,1761,1486,1251,1057,615,672,679,634,549,423
29,29,폭스바겐 더 파사트 2.0 TSI,폭스바겐,파사트,파사트 7세대,1990,1984,2018,흰색,52262,자동,휘발유,준중형차,0,전륜,0,0,외제차,3613,9.2,332,1658,1326,994,662,330,0,0,0,3281,2949,2617,2285,1953,1621,2634,2186,1807,1489,1228,1015,647,763,810,796,725,606
30,30,기아 올 뉴 카니발 9인승 프레스티지,기아,카니발,올 뉴 카니발 (14~18년),1830,2199,2016,자주색,76468,자동,경유,SUV,0,전륜,1,0,국산차,3600,10.7,385,1445,1060,675,290,0,0,0,0,3215,2830,2445,2060,1675,1290,2610,2210,1865,1573,1325,1120,605,620,580,487,350,170
31,31,르노삼성 뉴SM3 LE 플러스,르노삼성,SM3,뉴 SM3,510,1598,2010,은색,57566,자동,휘발유,준중형차,0,전륜,0,0,국산차,2000,9.1,182,328,146,0,0,0,0,0,0,1818,1636,1454,1272,1090,908,1450,1228,1036,874,736,622,368,408,418,398,354,286
32,32,미니 쿠퍼 (3세대) HIGH,미니,쿠퍼,쿠퍼 3세대,2510,1499,2019,진주색,72347,자동,휘발유,소형차,0,전륜,0,0,외제차,4930,9.6,473,2037,1564,1091,618,145,0,0,0,4457,3984,3511,3038,2565,2092,3594,2983,2465,2031,1676,1385,863,1001,1046,1007,889,707
33,33,기아 카니발 R 그랜드 카니발 President,기아,카니발,뉴 카니발 R (10~14년),1080,2199,2011,흰색,54152,자동,경유,SUV,0,전륜,0,0,국산차,3500,10.7,375,705,330,0,0,0,0,0,0,3125,2750,2375,2000,1625,1250,2538,2149,1813,1530,1288,1089,587,601,562,470,337,161
34,34,현대 그랜저 IG 2.2 디젤 프리미엄 스페셜,현대,그랜저,그랜저IG,2280,2199,2018,쥐색,81739,자동,경유,대형차,0,전륜,0,0,국산차,3300,10.4,343,1937,1594,1251,908,565,222,0,0,2957,2614,2271,1928,1585,1242,2393,2026,1709,1442,1214,1026,564,588,562,486,371,216
35,35,현대 팰리세이드 가솔린 3.8 4WD 프레스티지 (8인승),현대,팰리세이드,펠리세이드,3920,3778,2019,쥐색,17134,자동,휘발유,SUV,0,4륜,0,0,국산차,4400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,36,르노삼성 뉴QM3 RE 세부등급 없음,르노삼성,QM3,뉴 QM3,1460,1461,2018,흰색,52587,자동,경유,SUV,0,전륜,0,0,국산차,2500,12.4,310,1150,840,530,220,0,0,0,0,2190,1880,1570,1260,950,640,1813,1535,1295,1093,920,778,377,345,275,167,30,0
37,37,아우디 A7 50 TDI 콰트로 프리미엄 4G,아우디,A7,A7 1세대,3860,2967,2016,쥐색,83165,자동,경유,대형차,0,4륜,0,0,외제차,9000,9.3,837,3023,2186,1349,512,0,0,0,0,8163,7326,6489,5652,4815,3978,6561,5445,4500,3708,3060,2529,1602,1881,1989,1944,1755,1449
38,38,쌍용 렉스턴 스포츠 디젤 2.2 4WD 다이나믹 에디션,쌍용,렉스턴,더 뉴 렉스턴 스포츠,2750,2157,2021,빨간색,36094,자동,경유,SUV,0,4륜,0,0,국산차,3300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,39,현대 에쿠스(신형) VS380 익스클루시브,현대,에쿠스,뉴 에쿠스,2230,3778,2013,검정색,108667,자동,휘발유,대형차,0,후륜,0,0,국산차,8000,8.7,696,1534,838,142,0,0,0,0,0,7304,6608,5912,5216,4520,3824,5800,4912,4144,3496,2944,2488,1504,1696,1768,1720,1576,1336
40,40,르노코리아(삼성) XM3 가솔린 터보 1.3 RE 시그니쳐,르노삼성,XM3,XM3,2300,1332,2020,진주색,18217,자동,휘발유,SUV,0,전륜,0,0,국산차,2300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,41,제네시스 G70 2.0T 엘리트,제네시스,제네시스,G70,3250,1998,2019,은색,15400,자동,휘발유,중형차,0,4륜,0,0,국산차,4400,13.6,598,2652,2054,1456,858,260,0,0,0,3802,3204,2606,2008,1410,812,3190,2702,2279,1923,1619,1368,612,502,327,85,0,0
44,44,쉐보레(GM대우) 트랙스 1.4 LT 래더패키지,쉐보레,트랙스,트랙스,1050,1362,2015,빨간색,58757,자동,휘발유,SUV,0,전륜,0,0,국산차,2000,7.3,146,904,758,612,466,320,174,28,0,1854,1708,1562,1416,1270,1124,1450,1228,1036,874,736,622,404,480,526,542,534,502
45,45,르노삼성 All New SM7 RE 기본형,르노삼성,SM7,올 뉴 SM7,1050,2495,2014,흰색,76981,자동,휘발유,대형차,0,전륜,0,0,국산차,3300,10,330,720,390,60,0,0,0,0,0,2970,2640,2310,1980,1650,1320,2393,2026,1709,1442,1214,1026,577,614,601,538,436,294
46,46,르노삼성 QM6 디젤 2WD RE 시그니처,르노삼성,QM6,QM6,1700,1995,2017,쥐색,104543,자동,경유,SUV,0,전륜,0,0,국산차,3000,13.3,399,1301,902,503,104,0,0,0,0,2601,2202,1803,1404,1005,606,2175,1842,1554,1311,1104,933,426,360,249,93,0,0
49,49,쉐보레(GM대우) 이쿼녹스 2WD LT 플러스 익스클루시브,쉐보레,이쿼녹스,이쿼녹스,2390,1598,2019,흰색,31342,자동,경유,SUV,0,전륜,0,0,국산차,3500,10.6,371,2019,1648,1277,906,535,164,0,0,3129,2758,2387,2016,1645,1274,2538,2149,1813,1530,1288,1089,591,609,574,486,357,185
50,50,벤츠 E-클래스 W213 E300 4MATIC 익스클루시브,벤츠,E클래스,E클래스 10세대,5150,1991,2018,검정색,62517,자동,휘발유,중형차,0,4륜,1,0,외제차,8920,10.7,954,4196,3242,2288,1334,380,0,0,0,7966,7012,6058,5104,4150,3196,6503,5397,4460,3675,3033,2507,1463,1615,1598,1429,1117,689
51,51,현대 LF 쏘나타 2.0 스마트 세부등급 없음,현대,쏘나타,LF쏘나타,1380,1999,2015,검정색,77587,자동,휘발유,중형차,0,전륜,0,0,국산차,2600,8.7,226,1154,928,702,476,250,24,0,0,2374,2148,1922,1696,1470,1244,1885,1596,1347,1136,957,809,489,552,575,560,513,435
52,52,기아 더 뉴 카니발 9인승 하이리무진 프레스티지,기아,카니발,더 뉴 카니발 (18~20년),3250,2199,2019,진주색,134747,자동,경유,SUV,0,전륜,0,0,국산차,3860,10.7,413,2837,2424,2011,1598,1185,772,359,0,3447,3034,2621,2208,1795,1382,2799,2370,1999,1687,1420,1200,648,664,622,521,375,182
54,54,현대 더 뉴 코나 가솔린 터보 1.6 (N라인) 4WD 인스퍼레이션,현대,코나,더 뉴 코나,2890,1598,2021,빨간색,2601,자동,휘발유,SUV,0,4륜,0,0,국산차,2600,9,234,2656,2422,2188,1954,1720,1486,1252,1018,2366,2132,1898,1664,1430,1196,1885,1596,1347,1136,957,809,481,536,551,528,473,387
55,55,기아 더 뉴 K5 터보 GDI 프레스티지,기아,K5,더 뉴 K5 (13~15년),1390,1998,2015,진주색,92076,자동,휘발유,중형차,0,전륜,0,0,국산차,2500,9.8,245,1145,900,655,410,165,0,0,0,2255,2010,1765,1520,1275,1030,1813,1535,1295,1093,920,778,442,475,470,427,355,252
56,56,BMW 6시리즈 GT (G32) 620d 럭셔리,BMW,6시리즈,6시리즈 4세대 (18~현재),5930,1995,2019,쥐색,26934,자동,경유,대형차,0,후륜,0,0,외제차,8150,9.1,742,5188,4446,3704,2962,2220,1478,736,0,7408,6666,5924,5182,4440,3698,5941,4931,4075,3358,2771,2290,1467,1735,1849,1824,1669,1408
58,58,현대 포터2 CRDi 카고 초장축 더블캡  프리미엄,현대,포터,포터2,2030,2497,2019,흰색,19802,자동,경유,화물차,0,후륜,0,0,국산차,2100,7.8,164,1866,1702,1538,1374,1210,1046,882,718,1936,1772,1608,1444,1280,1116,1409,1254,1071,895,750,626,527,518,537,549,530,490
61,61,쌍용 G4 렉스턴 디젤 2.2 4WD 화이트 에디션,쌍용,렉스턴,G4 렉스턴,3250,2157,2020,검정색,9406,자동,경유,SUV,0,4륜,0,0,국산차,4000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
63,63,폭스바겐 티구안 2세대 2.0 TDI 프리미엄,폭스바겐,티구안,티구안 2세대,3170,1968,2020,흰색,16687,자동,경유,SUV,0,전륜,0,0,외제차,4300,9.2,396,2774,2378,1982,1586,1190,794,398,2,3904,3508,3112,2716,2320,1924,3135,2602,2150,1772,1462,1208,769,906,962,944,858,716
64,64,르노코리아(삼성) SM6 2.0 GDe RE,르노삼성,SM6,SM6,1520,1997,2016,흰색,63642,자동,휘발유,중형차,0,전륜,0,0,국산차,3000,13.5,405,1115,710,305,0,0,0,0,0,2595,2190,1785,1380,975,570,2175,1842,1554,1311,1104,933,420,348,231,69,0,0
67,67,BMW X1 (F48) xDrive 20i xLine,BMW,X1,X1 2세대 (16년~현재),4180,1998,2021,검정색,4979,자동,휘발유,SUV,0,4륜,0,0,외제차,5000,8.3,415,3765,3350,2935,2520,2105,1690,1275,860,4585,4170,3755,3340,2925,2510,3645,3025,2500,2060,1700,1405,940,1145,1255,1280,1225,1105
68,68,현대 쏘나타 DN8 2.0 가솔린 프리미엄,현대,쏘나타,쏘나타 DN8,2250,1999,2020,검정색,44835,자동,휘발유,중형차,0,전륜,0,0,국산차,2600,8.7,226,2024,1798,1572,1346,1120,894,668,442,2374,2148,1922,1696,1470,1244,1885,1596,1347,1136,957,809,489,552,575,560,513,435
70,70,기아 더 뉴 니로 노블레스 스폐셜,기아,니로,더 뉴 니로 (19년~현재),2820,1580,2020,진주색,43477,자동,하이브리드,SUV,0,전륜,0,0,국산차,3200,13.3,426,2394,1968,1542,1116,690,264,0,0,2774,2348,1922,1496,1070,644,2320,1965,1658,1398,1178,995,454,383,264,98,0,0
72,72,쉐보레(GM대우) 더 뉴 스파크 프리미어,쉐보레,스파크,더 뉴 스파크,1170,999,2021,진주색,13454,자동,휘발유,경차,0,전륜,0,0,국산차,1200,5,60,1110,1050,990,930,870,810,750,690,1140,1080,1020,960,900,840,870,737,622,524,442,373,270,343,398,436,458,467
73,73,렉서스 NX300h 슈프림,렉서스,NX,NX,4090,2494,2018,검정색,38385,자동,하이브리드,SUV,0,4륜,0,0,외제차,6200,8.2,508,3582,3074,2566,2058,1550,1042,534,26,5692,5184,4676,4168,3660,3152,4520,3751,3100,2554,2108,1742,1172,1433,1576,1614,1552,1410
76,76,기아 더 뉴 모닝 럭셔리,기아,모닝,더 뉴 모닝 (15~17년),840,998,2016,진주색,36508,자동,휘발유,경차,0,전륜,0,0,국산차,1000,6.8,68,772,704,636,568,500,432,364,296,932,864,796,728,660,592,725,614,518,437,368,311,207,250,278,291,292,281
77,77,벤츠 S-클래스 W222 S350L,벤츠,S클래스,S클래스 6세대,8950,2996,2019,검정색,64343,자동,휘발유,대형차,0,후륜,0,0,외제차,24000,9.7,2328,6622,4294,1966,0,0,0,0,0,21672,19344,17016,14688,12360,10032,17496,14520,12000,9888,8160,6744,4176,4824,5016,4800,4200,3288
78,78,현대 아반떼 AD 1.6 GDI 스마트 세부등급 없음,현대,아반떼,아반떼AD,1250,1591,2017,쥐색,67228,자동,휘발유,준중형차,0,전륜,0,0,국산차,2000,7.3,146,1104,958,812,666,520,374,228,82,1854,1708,1562,1416,1270,1124,1450,1228,1036,874,736,622,404,480,526,542,534,502
79,79,기아 모하비 더 마스터 디젤 3.0 4WD 마스터즈 7인승,기아,모하비,모하비 더 마스터 (19년~현재),4670,2959,2021,진주색,34437,자동,경유,SUV,0,4륜,0,0,국산차,5250,11,578,4092,3514,2936,2358,1780,1202,624,46,4672,4094,3516,2938,2360,1782,3806,3224,2720,2294,1932,1633,866,870,796,644,428,149
83,83,현대 i30(신형) 1.6 GDI 익스트림,현대,i30,뉴 i30,790,1591,2012,빨간색,69612,자동,휘발유,준중형차,0,전륜,1,0,국산차,2615,7.1,186,604,418,232,46,0,0,0,0,2429,2243,2057,1871,1685,1499,1896,1606,1355,1143,962,813,533,637,702,728,723,686
85,85,기아 더 뉴 레이 시그니처,기아,레이,더 뉴 레이 (17년~현재),1750,998,2021,흰색,1063,자동,휘발유,경차,0,전륜,0,0,국산차,1300,8,104,1646,1542,1438,1334,1230,1126,1022,918,1196,1092,988,884,780,676,943,798,673,568,478,404,253,294,315,316,302,272
86,86,현대 그랜저 HG HG240 모던,현대,그랜저,그랜저HG,1220,2359,2013,흰색,98105,자동,휘발유,대형차,0,전륜,0,0,국산차,3600,10.4,374,846,472,98,0,0,0,0,0,3226,2852,2478,2104,1730,1356,2610,2210,1865,1573,1325,1120,616,642,613,531,405,236
88,88,기아 올 뉴 카렌스 1.7 VGT 프레스티지,기아,카렌스,올 뉴 카렌스 (13~16년),980,1685,2014,쥐색,100699,자동,경유,SUV,0,전륜,0,0,국산차,2200,9,198,782,584,386,188,0,0,0,0,2002,1804,1606,1408,1210,1012,1595,1351,1140,961,810,684,407,453,466,447,400,328
89,89,벤츠 A-클래스 W177 가솔린 2WD A220 해치백,벤츠,A클래스,A클래스 4세대,3090,1991,2019,빨간색,12916,자동,휘발유,소형차,0,전륜,0,0,외제차,5090,11.8,601,2489,1888,1287,686,85,0,0,0,4489,3888,3287,2686,2085,1484,3711,3079,2545,2097,1731,1430,778,809,742,589,354,54
90,90,쉐보레(GM대우) 스파크 LT 기본형,쉐보레,스파크,스파크,530,995,2012,갈색,49116,자동,휘발유,경차,0,전륜,1,0,국산차,1000,5,50,480,430,380,330,280,230,180,130,950,900,850,800,750,700,725,614,518,437,368,311,225,286,332,363,382,389
91,91,기아 K5 2세대 2.0 MX 프레스티지,기아,K5,K5 2세대 (15~18년),1250,1999,2016,쥐색,112041,자동,휘발유,중형차,0,전륜,0,0,국산차,3000,9.8,294,956,662,368,74,0,0,0,0,2706,2412,2118,1824,1530,1236,2175,1842,1554,1311,1104,933,531,570,564,513,426,303
93,93,쉐보레(GM대우) 임팔라 3.6 LTZ,쉐보레,임팔라,임팔라,1390,3564,2016,은색,139065,자동,휘발유,대형차,0,전륜,0,0,국산차,3900,11.5,449,941,492,43,0,0,0,0,0,3451,3002,2553,2104,1655,1206,2828,2395,2020,1704,1435,1213,623,607,533,400,220,0
94,94,미니 쿠퍼 클럽맨(2세대) 기본형,미니,클럽맨,쿠퍼 클럽맨 2세대,2550,1499,2019,검정색,32635,자동,휘발유,소형차,0,전륜,0,0,외제차,5040,10.2,514,2036,1522,1008,494,0,0,0,0,4526,4012,3498,2984,2470,1956,3674,3049,2520,2076,1714,1416,852,963,978,908,756,540
95,95,현대 제네시스 DH G380 파이니스트 에디션 AWD,현대,제네시스,제네시스DH,2830,3778,2015,보라색,81990,자동,휘발유,대형차,0,4륜,0,0,국산차,5700,13.6,775,2055,1280,505,0,0,0,0,0,4925,4150,3375,2600,1825,1050,4133,3500,2953,2491,2098,1773,792,650,422,109,0,0
97,97,쉐보레(GM대우) 올란도 LPG LT 프리미엄,쉐보레,올란도,올란도,960,1998,2015,쥐색,90369,자동,LPG,SUV,0,전륜,0,0,국산차,2500,8.9,223,737,514,291,68,0,0,0,0,2277,2054,1831,1608,1385,1162,1813,1535,1295,1093,920,778,464,519,536,515,465,384
99,99,기아 더 뉴 스포티지 R 디젤 2WD 프레스티지,기아,스포티지,더 뉴 스포티지R (13~16년),1080,1995,2014,흰색,161706,자동,경유,SUV,0,전륜,0,0,국산차,2500,8.5,213,867,654,441,228,15,0,0,0,2287,2074,1861,1648,1435,1222,1813,1535,1295,1093,920,778,474,539,566,555,515,444
100,100,르노삼성 클리오 스틸,르노삼성,클리오,클리오,1270,1461,2019,검정색,60848,자동,경유,소형차,0,전륜,0,0,국산차,2200,13.2,290,980,690,400,110,0,0,0,0,1910,1620,1330,1040,750,460,1595,1351,1140,961,810,684,315,269,190,79,0,0
102,102,기아 더 뉴 K7 2.4 GDI 프레스티지 스페셜,기아,K7,더 뉴 K7 (12~16년),1320,2359,2013,흰색,69125,자동,휘발유,대형차,0,전륜,0,0,국산차,3200,10.8,346,974,628,282,0,0,0,0,0,2854,2508,2162,1816,1470,1124,2320,1965,1658,1398,1178,995,534,543,504,418,292,129
107,107,기아 올 뉴 모닝 (JA) 프레스티지,기아,모닝,올 뉴 모닝 (17~20년),1130,998,2018,흰색,15784,자동,휘발유,경차,0,전륜,0,0,국산차,1350,6.8,92,1038,946,854,762,670,578,486,394,1258,1166,1074,982,890,798,979,829,699,590,497,420,279,337,375,392,393,378
109,109,기아 올 뉴 K7 2.4 GDI 리미티드,기아,K7,올 뉴 K7 (16~19년),1990,2359,2018,검정색,79688,자동,휘발유,대형차,0,전륜,0,0,국산차,3200,10.8,346,1644,1298,952,606,260,0,0,0,2854,2508,2162,1816,1470,1124,2320,1965,1658,1398,1178,995,534,543,504,418,292,129
111,111,현대 제네시스 BH330 그랜드 프라임팩,현대,제네시스,제네시스,780,3342,2009,은회색,93689,자동,휘발유,대형차,0,후륜,0,0,국산차,5200,13.6,707,73,0,0,0,0,0,0,0,4493,3786,3079,2372,1665,958,3770,3193,2694,2272,1914,1617,723,593,385,100,0,0
112,112,쉐보레(GM대우) 트레일블레이저 1.3 가솔린 터보 4WD RS,쉐보레,트레일블레이저,트레일블레이저,2740,1341,2021,흰색,26313,자동,휘발유,SUV,0,4륜,0,0,국산차,2500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
