모델,가격,갯수,1,2,3,4,5
QX7,2150,1,-1,-1,-1,-1,-1
RAV4,2700,1,올 뉴 에비에이터,XC60 2세대,CRV 5세대,디스커버리 5,XC90 2세대
RAV4 4세대,1990,1,-1,-1,-1,-1,-1
RAV4 5세대,3016,3,RAV4,올 뉴 에비에이터,프리몬트,에스컬레이드 4세대,어코드 9세대
RS5,4090,1,-1,-1,-1,-1,-1
RX 4세대,5650,2,-1,-1,-1,-1,-1
S4,1275,2,A5 1세대,A6 3세대,Q50,Q5 2세대,기블리
S40 1세대,300,1,-1,-1,-1,-1,-1
S60 2세대,1878,18,XF,기블리,A5 2세대,뉴 CC,A6 3세대
S60 3세대,4250,3,알티마 5세대,어코드 10세대,캠리 7세대,CT6,CTS
S7,3650,1,-1,-1,-1,-1,-1
S80 2세대,1135,2,-1,-1,-1,-1,-1
S90 2세대,4582,9,파나메라 1세대,르반떼,6시리즈 4세대 (18~현재),V90 크로스컨트리,뉴 XF
SLK클래스 3세대,2233,3,C40,QX60,노틸러스,V60 크로스컨트리 2세대,Q5 2세대
SM3 네오,790,75,뉴 SM3,뉴SM5 플래티넘,SM5 뉴 임프레션,더 뉴 SM6,뉴 SM5 (신형)
SM3 뉴 제너레이션,300,2,-1,-1,-1,-1,-1
SM5,110,1,뉴 SM5 (신형),SM5 노바,뉴SM5 플래티넘,SM5 뉴 임프레션,더 뉴 SM6
SM5 노바,950,67,뉴SM5 플래티넘,뉴 SM5 (신형),SM5 뉴 임프레션,SM5,더 뉴 SM6
SM5 뉴 임프레션,335,14,뉴SM5 플래티넘,뉴 SM5 (신형),SM5 노바,더 뉴 SM6,SM5
SM6,1325,217,더 뉴 SM6,SM5,뉴 SM5 (신형),SM5 노바,뉴SM5 플래티넘
SM7,260,1,SM7 노바,올 뉴 SM7,SM7 뉴 아트,SM5,더 뉴 SM6
SM7 노바,1200,51,SM7,올 뉴 SM7,SM7 뉴 아트,더 뉴 SM6,SM5
SM7 뉴 아트,387,10,올 뉴 SM7,뉴 SM5,뉴 QM6,마스터,QM5 네오
SRX,880,1,-1,-1,-1,-1,-1
S클래스 5세대,1518,14,S클래스 6세대,CLS클래스 2세대,토러스,S클래스 7세대,CLS클래스 3세대
S클래스 6세대,7290,31,S클래스 5세대,CLS클래스 2세대,CLA클래스 1세대,A클래스 4세대,GLA클래스 1세대
S클래스 7세대,21650,3,AMG GT,CLS클래스 3세대,B클래스 2세대,GLA클래스 2세대,S90 2세대
TT 1세대,790,1,-1,-1,-1,-1,-1
TT 2세대,949,1,-1,-1,-1,-1,-1
UX,3726,3,MKZ 2세대,프리우스,LS 5세대,NX,파나메라 2세대
V36,695,9,랜서,CTS,CT6,Q50,어코드 10세대
V40 2세대,1682,4,몬데오 4세대,퓨전 2세대,3008 1세대,Q50,XC90 2세대
V40 크로스컨트리,2406,3,디스커버리 5,레인지로버 4세대,프리몬트,르반떼,3008 1세대
V50,550,1,-1,-1,-1,-1,-1
V60 1세대,2550,1,-1,-1,-1,-1,-1
V60 크로스컨트리 1세대,2345,2,-1,-1,-1,-1,-1
V60 크로스컨트리 2세대,5030,3,쿠가,QX60,노틸러스,XT5,C40
V90 크로스컨트리,4526,3,파나메라 2세대,MKZ 2세대,LS 4세대,300C 2세대,파나메라 1세대
V클래스 3세대,5650,1,-1,-1,-1,-1,-1
X1 1세대 (10~15년),926,3,X3 2세대 (11~17년),X4 2세대 (18년~현재),i3 (14년~현재),X4 1세대 (14~18년),시로코 3세대
X1 2세대 (16년~현재),3180,7,X3 3세대 (17년~현재),1시리즈 3세대 (20년~현재),X3 2세대 (11~17년),X4 1세대 (14~18년),6시리즈 3세대 (11~18년)
X2 (18년~현재),4150,1,-1,-1,-1,-1,-1
X3 1세대 (04~10년),2360,1,-1,-1,-1,-1,-1
X3 2세대 (11~17년),2267,9,X6 2세대 (14~19년),X4 1세대 (14~18년),X3 3세대 (17년~현재),X1 2세대 (16년~현재),X5 3세대 (13~18년)
X3 3세대 (17년~현재),4351,6,X6 2세대 (14~19년),X3 2세대 (11~17년),X1 2세대 (16년~현재),X4 1세대 (14~18년),1시리즈 3세대 (20년~현재)
X4 1세대 (14~18년),3035,7,X6 2세대 (14~19년),X3 2세대 (11~17년),X3 3세대 (17년~현재),X4 2세대 (18년~현재),X1 2세대 (16년~현재)
X4 2세대 (18년~현재),6018,5,X4 1세대 (14~18년),X5 4세대 (19년~현재),투아렉 2세대,레인저,X6 1세대 (08~14년)
X5 3세대 (13~18년),4705,12,X6 2세대 (14~19년),X3 2세대 (11~17년),X4 1세대 (14~18년),X3 3세대 (17년~현재),X1 2세대 (16년~현재)
X5 4세대 (19년~현재),8480,4,X4 2세대 (18년~현재),퓨전 2세대,노틸러스,X6 1세대 (08~14년),X4 1세대 (14~18년)
X6 1세대 (08~14년),2696,3,X4 2세대 (18년~현재),X4 1세대 (14~18년),X5 4세대 (19년~현재),C40,투아렉 2세대
X6 2세대 (14~19년),5287,10,X4 1세대 (14~18년),X3 2세대 (11~17년),X3 3세대 (17년~현재),X5 3세대 (13~18년),X1 2세대 (16년~현재)
X6 3세대 (20년~현재),7000,2,-1,-1,-1,-1,-1
X7 (19년~현재),11628,2,-1,-1,-1,-1,-1
XC60 1세대,1665,2,-1,-1,-1,-1,-1
XC60 2세대,6331,5,코세어,RAV4,3008 1세대,디스커버리 4,XC90 2세대
XC90 1세대,690,1,-1,-1,-1,-1,-1
XC90 2세대,6182,8,3008 1세대,508 1세대,CRV 5세대,퓨전 2세대,레인지로버이보크 1세대
XE,1963,9,M3 5세대 (14년~현재),Q7 2세대,뉴 XF,S클래스 7세대,CT6
XF,1179,12,S60 2세대,A5 2세대,A6 5세대,기블리,A6 3세대
XJ,2285,4,508 2세대,FPACE,CRV 5세대,퓨전 2세대,어코드 9세대
XJ 5세대,6537,1,-1,-1,-1,-1,-1
XM3,1536,87,캡처,QM5,더 뉴 QM6,QM6,뉴 QM3
XT5,3960,2,FPACE,V60 크로스컨트리 2세대,쿠가,EPACE,Q70
YF소나타 하이브리드,878,5,NF쏘나타,K5 하이브리드 2세대 (15~18년),ES 6세대,캠리 8세대,캠리
YF쏘나타,679,58,LF쏘나타,쏘나타 뉴 라이즈,쏘나타 DN8,쏘나타 더 브릴리언트,쏘나타 DN8 하이브리드
Z4 1세대 (02~09년),1555,1,-1,-1,-1,-1,-1
Z4 2세대 (09~16년),2035,2,-1,-1,-1,-1,-1
i3 (14년~현재),2207,4,2시리즈 그란 쿠페,시로코 3세대,타이칸,1시리즈 3세대 (20년~현재),더 비틀 3세대
i30,558,6,뉴 i30,i30 PD,벨로스터 JS,아반떼 CN7,더 뉴 아반떼
i30 GD,710,3,더 뉴 아이오닉 일렉트릭,넥쏘,아반떼 CN7 하이브리드,I30,아이오닉5
i30 PD,1667,29,뉴 i30,벨로스터 N,아반떼HD,i30,더 뉴 아반떼MD
i30CW,400,1,-1,-1,-1,-1,-1
i40,1050,13,NF쏘나타 트랜스폼,쏘나타 더 브릴리언트,i40 살룬,LF쏘나타 하이브리드,쏘나타 DN8 하이브리드
i40 살룬,963,19,NF쏘나타,NF쏘나타 트랜스폼,i40,YF소나타 하이브리드,로체 이노베이션 (08~10년)
i8 (15년~현재),8557,1,-1,-1,-1,-1,-1
갤로퍼,850,1,넥쏘,니로 EV (18년~현재),EV6 (21년~현재),쏠라티,LS 5세대
