이름,제조회사,모델명,가격,배기량,연식,색상,주행거리,변속기,연료,차종,압류/저당,구동방식,사고유무,전손이력,생산지
현대 그랜저 IG 2.4 프리미엄 스페셜,현대,그랜저,2490,2359,2018,쥐색,46974,자동,휘발유,대형차,0,전륜,0,0,국산차
기아 올 뉴 쏘렌토 디젤 2.0 4WD 노블레스,기아,쏘렌토,1920,1995,2016,쥐색,78312,자동,경유,SUV,0,4륜,0,0,국산차
현대 그랜저 HG HG240 럭셔리,현대,그랜저,920,2359,2012,흰색,97176,자동,휘발유,대형차,0,전륜,0,0,국산차
기아 더 뉴 K5 프레스티지,기아,K5,1070,1999,2014,흰색,140338,자동,휘발유,중형차,0,전륜,0,0,국산차
쉐보레(GM대우) 올 뉴 말리부 2.0 터보 LT 프리미엄,쉐보레,말리부,1620,1998,2018,검정색,42862,자동,휘발유,중형차,0,전륜,0,0,국산차
현대 베라크루즈 디젤 2WD 익스클루시브 스페셜,현대,크루즈,2060,2959,2015,흰색,107229,자동,경유,SUV,0,전륜,0,0,국산차
현대 더 뉴 그랜저 가솔린 2.5 프리미엄 초이스,현대,그랜저,3290,2497,2020,쥐색,18199,자동,휘발유,대형차,0,전륜,0,0,국산차
쉐보레(GM대우) 더 뉴 스파크 LT,쉐보레,스파크,970,999,2019,검정색,21038,자동,휘발유,경차,0,전륜,0,0,국산차
렉서스 RX450h 4세대 슈프림,렉서스,X4,6450,3456,2020,연금색,32565,자동,하이브리드,SUV,0,전륜,0,0,외제차
기아 더 뉴 쏘렌토 디젤 2.0 2WD 노블레스 스페셜,기아,쏘렌토,2700,1995,2018,흰색,32550,자동,경유,SUV,0,전륜,0,0,국산차
기아 K3 럭셔리,기아,K3,870,1591,2015,흰색,92503,자동,휘발유,준중형차,0,전륜,0,0,국산차
BMW X3 (G01) xDrive 20d M 스포츠,BMW,X3,4720,1995,2018,검정색,64680,자동,경유,SUV,0,4륜,0,0,외제차
르노삼성 SM5 뉴 임프레션 LE 익스클루시브,르노삼성,SM5,440,1998,2010,흰색,104050,자동,휘발유,중형차,0,전륜,0,0,국산차
기아 모하비 더 마스터 디젤 3.0 4WD 마스터즈 7인승,기아,모하비,4460,2959,2020,검정색,24828,자동,경유,SUV,0,4륜,0,0,국산차
현대 싼타페 더 프라임 디젤 2.0 2WD 익스클루시브,현대,싼타페,1960,1995,2017,은색,54496,자동,경유,SUV,0,전륜,0,0,국산차
기아 K5 2.0 프레스티지 기본형,기아,K5,800,1998,2012,검정색,120887,자동,휘발유,중형차,0,전륜,0,0,국산차
르노코리아(삼성) SM6 2.0 LPe SE,르노삼성,SM6,1620,1998,2020,흰색,26715,자동,LPG,중형차,0,전륜,0,0,국산차
현대 엑센트(신형) 위트 1.4 VVT 스마트,현대,엑센트,820,1368,2018,흰색,75398,자동,휘발유,소형차,0,전륜,0,0,국산차
BMW 1시리즈 (F20) 118d 어반 팩1 5도어,BMW,1시리즈,1250,1995,2014,흰색,82402,자동,경유,소형차,0,후륜,0,0,외제차
기아 더 뉴 레이 프레스티지,기아,레이,1490,998,2021,진주색,6947,자동,휘발유,경차,0,전륜,0,0,국산차
기아 올 뉴 모닝 디럭스 스페셜,기아,모닝,550,998,2013,진주색,78241,자동,휘발유,경차,0,전륜,0,0,국산차
현대 쏘나타 DN8 2.0 가솔린 프리미엄 패밀리,현대,쏘나타,2250,1999,2020,쥐색,24417,자동,휘발유,중형차,0,전륜,1,0,국산차
기아 스포티지 R 디젤 2WD TLX 고급형,기아,스포티지,1020,1995,2012,흰색,81971,자동,경유,SUV,0,전륜,0,0,국산차
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,현대,그랜저,2180,2359,2018,흰색,73666,자동,휘발유,대형차,0,전륜,0,0,국산차
쉐보레(GM대우) 더 넥스트 스파크 LTZ,쉐보레,스파크,890,999,2018,쥐색,35351,자동,휘발유,경차,0,전륜,0,0,국산차
르노삼성 XM3 가솔린 1.6 RE,르노삼성,XM3,2170,1598,2022,진주색,16872,자동,휘발유,SUV,0,전륜,0,0,국산차
현대 팰리세이드 가솔린 3.8 4WD 프레스티지 (7인승),현대,팰리세이드,4070,3778,2022,쥐색,5138,자동,휘발유,SUV,0,4륜,0,0,국산차
BMW 1시리즈 (F20) 118d M스포츠 섀도우 5도어,BMW,1시리즈,2450,1995,2018,흰색,38064,자동,경유,소형차,0,후륜,1,0,외제차
BMW 5시리즈 (F10) 528i,BMW,5시리즈,1250,1997,2012,은색,151585,자동,휘발유,중형차,0,후륜,0,0,외제차
현대 싼타페 TM 디젤 2.0 2WD 프레스티지,현대,싼타페,2850,1995,2019,쥐색,60243,자동,경유,SUV,0,전륜,0,0,국산차
쉐보레(GM대우) 스파크 LT 기본형,쉐보레,스파크,530,995,2012,분홍색,45676,자동,휘발유,경차,0,전륜,1,0,국산차
현대 그랜저 HG HG240 모던,현대,그랜저,1180,2359,2015,검정색,102501,자동,휘발유,대형차,0,전륜,0,0,국산차
기아 스포티지 더 볼드 디젤 2.0 2WD 노블레스,기아,스포티지,2190,1995,2019,은회색,65235,자동,경유,SUV,0,전륜,0,0,국산차
