판매일,기간,차량/세부모델,미션,연식,연료,주행거리,색상,가격,옵션
2022-02-28,573?일,?그랜드스타렉스 12인 어린이보호차,오토,2010.07,경유,"206,658",노란색,390,옵션
,,,,[ 2011 ],,,,,
2022-02-28,52?일,?소나타더브릴리언트 CVVL 스타일 [무],오토,2014.01,휘발유,"108,865",흰색,540,옵션
,,,,[ 2014 ],,,,,
2022-02-28,49?일,?제네시스DH G330 프리미엄 AWD [무],오토,2015.03,휘발유,"131,314",검정색,"2,000",옵션
,,,,[ 2016 ],,,,,
2022-02-28,19?일,?엑센트신형 1.6GDI 탑,오토,2013.02,휘발유,"70,000",흰색,729,옵션
,,,,[ 2013 ],,,,,
2022-02-28,52?일,?소나타더브릴리언트 CVVL 스타일 [무],오토,2014.01,휘발유,"108,865",흰색,540,옵션
,,,,[ 2014 ],,,,,
2022-02-28,42?일,?더 뉴 싼타페 가솔린 2.5 2WD 프리미엄 [무],오토,2020.11,휘발유,"26,000",검정색,"3,400",옵션
,,,,[ 2021 ],,,,,
2022-02-28,34?일,?그랜저HG HG240 MODERN [무],오토,2013.02,휘발유,"133,068",흰색,999,옵션
,,,,[ 2013 ],,,,,
2022-02-28,35?일,?더 뉴 아반떼 1.6 GDI 스마트,오토,2014.10,휘발유,"70,000",검정색,779,옵션
,,,,[ 2015 ],,,,,
2022-02-28,573?일,?그랜드스타렉스 12인 어린이보호차,오토,2010.07,경유,"206,658",노란색,390,옵션
,,,,[ 2011 ],,,,,
2022-02-28,33?일,?K5 MX 2.0 LPI 럭셔리 A/T [무],오토,2017.10,LPG,"76,466",흰색,"1,180",옵션
,,,,[ 2018 ],,,,,
2022-02-27,222?일,?더K9 3.8 GDI AWD 플래티넘Ⅰ [무],오토,2018.05,휘발유,"37,800",다크블루,"9,999",옵션
,,,,[ 2019 ],,,,,
2022-02-27,94?일,?쿠퍼 SE [무],오토,2011.06,휘발유,"106,600",베이지색,"9,999",옵션
,,,,[ 2012 ],,,,,
2022-02-27,45?일,?올뉴K7 2.4 GDI 프레스티지 [무],오토,2017.07,휘발유,"55,100",흰색,"9,999",옵션
,,,,[ 2017 ],,,,,
2022-02-27,61?일,?올뉴투싼 디젤 2.0 2WD 모던 [무],오토,2015.07,경유,"126,240",흰색,"1,480",옵션
,,,,[ 2016 ],,,,,
2022-02-27,10?일,?레이 터보 프레스티지 [무],오토,2013.11,휘발유,"172,745",흰색,760,옵션
,,,,[ 2014 ],,,,,
2022-02-27,73?일,?레이 럭셔리,오토,2015.09,휘발유,"118,740",흰색,720,옵션
,,,,[ 2016 ],,,,,
2022-02-27,131?일,?스토닉 디젤 1.6 트렌디 [무],오토,2018.05,경유,"133,535",흰색,999,옵션
,,,,[ 2018 ],,,,,
2022-02-27,38?일,?스파크 LT 기본형 [무],오토,2013.04,휘발유,"47,178",검정색,480,옵션
,,,,[ 2013 ],,,,,
2022-02-27,4?일,?소나타뉴라이즈 LPI 스타일 [무],오토,2017.05,LPG,"48,000",흰색,"1,390",옵션
,,,,[ 2018 ],,,,,
2022-02-27,39?일,?올뉴K7 3.0 LPI 디럭스 [무],오토,2018.10,LPG,"40,000",검정색,"1,589",옵션
,,,,[ 2018 ],,,,,
2022-02-27,136?일,?그랜저IG 3.0 LPI 모던 [무],오토,2017.11,LPG,"162,347",검정색,"9,999",옵션
,,,,[ 2018 ],,,,,
2022-02-27,124?일,?뉴모닝 LX 고급형,오토,2008.05,휘발유,"184,326",은색,189,옵션
,,,,[ 2008 ],,,,,
2022-02-27,76?일,?EQ900 3.8 GDI AWD 럭셔리 [무],오토,2017.10,휘발유,"70,000",검정색,"3,490",옵션
,,,,[ 2018 ],,,,,
2022-02-26,33?일,?YF소나타 LPI DELUXE [무],오토,2010.06,LPG,"247,372",은색,270,옵션
,,,,[ 2010 ],,,,,
2022-02-26,30?일,?LF 소나타 LPI 모던 [무],오토,2015.10,LPG,"69,100",검정색,"1,250",옵션
,,,,[ 2015 ],,,,,
2022-02-26,39?일,?올뉴모닝 트렌디 [무],오토,2013.10,휘발유,"59,591",검정색,600,옵션
,,,,[ 2013 ],,,,,
2022-02-26,108?일,?소나타더브릴리언트 CVVL 스마트 [무],오토,2012.11,휘발유,"152,011",검정색,599,옵션
,,,,[ 2013 ],,,,,
2022-02-25,38?일,?YF소나타 PREMIER [무],오토,2009.10,휘발유,"151,165",검정색,360,옵션
,,,,[ 2010 ],,,,,
2022-02-25,233?일,?더 뉴 그랜저 IG 하이브리드 캘리그래피 [무],오토,2020.02,휘발유 하이브리드,"6,727",다크그레이,"4,290",옵션
,,,,[ 2020 ],,,,,
2022-02-25,14?일,?올뉴K7 3.0 GDI 리미티드,오토,2018.03,휘발유,"79,000",검정색,"2,040",옵션
,,,,[ 2018 ],,,,,
2022-02-25,8?일,?봉고3트럭 1톤 초장축 킹캡 CRDi [무],오토,2019.02,경유,"94,244",흰색,"1,490",옵션
,,,,[ 2019 ],,,,,
2022-02-25,1191?일,?뉴 다마스 2인승 판넬밴 [무],수동,2015.01,LPG,"50,000",흰색,550,옵션
,,,,[ 2015 ],,,,,
2022-02-25,22?일,?뉴SM5(신형) SE PLUS [무],오토,2010.04,휘발유,"51,000",은색,31,옵션
,,,,[ 2010 ],,,,,
2022-02-25,81?일,?쿠퍼 5도어 HIGH,오토,2015.04,휘발유,"84,350",하늘색,"1,690",옵션
,,,,[ 2015 ],,,,,
2022-02-25,29?일,?올 뉴 카니발 9인승 프레스티지 [무],오토,2014.10,경유,"156,999",흰색,"1,680",옵션
,,,,[ 2015 ],,,,,
2022-02-25,51?일,?SM7 2.3 LE [무],오토,2005.01,휘발유,"171,018",흰색,170,옵션
,,,,[ 2005 ],,,,,
2022-02-25,9?일,?그랜드스타렉스 12인 CVX 디럭스,오토,2010.05,경유,"172,527",은색,660,옵션
,,,,[ 2011 ],,,,,
2022-02-25,66?일,?포터2 4WD 장축 더블캡 골드,수동,2015.03,경유,"72,241",흰색,"1,070",옵션
,,,,[ 2015 ],,,,,
2022-02-25,128?일,?포터2 더블캡(CRDI) 초장축 모던 [무],오토,2018.10,경유,"103,171",청색,"1,420",옵션
,,,,[ 2018 ],,,,,
2022-02-25,67?일,?베라쿠르즈 4WD 익스클루시브 스페셜 [무],오토,2014.05,경유,"211,326",흰색,"1,420",옵션
,,,,[ 2015 ],,,,,
2022-02-25,46?일,?올뉴모닝 트렌디 [무],오토,2012.10,휘발유,"143,000",쥐색,390,옵션
,,,,[ 2013 ],,,,,
2022-02-25,71?일,?YF소나타 LPI DELUXE [무],오토,2010.01,LPG,"70,280",검정색,530,옵션
,,,,[ 2010 ],,,,,
2022-02-25,4?일,?K5 MX 2.0 LPI 프레스티지 [무],오토,2017.03,LPG,"111,230",은색,"1,230",옵션
,,,,[ 2017 ],,,,,
2022-02-25,70?일,?엑센트신형 1.4VVT 모던 [무],오토,2016.08,휘발유,"57,691",다크그레이,740,옵션
,,,,[ 2017 ],,,,,
2022-02-25,60?일,?뉴코란도C 2.0 RX 4WD 최고급형,오토,2015.06,경유,"120,000",검정색,949,옵션
,,,,[ 2015 ],,,,,
2022-02-25,88?일,?그랜저HG HG240 MODERN [무],오토,2014.01,휘발유,"47,513",흰색,"1,360",옵션
,,,,[ 2014 ],,,,,
2022-02-25,16?일,?그랜드스타렉스밴 3인 스마트 [무],오토,2017.11,경유,"182,827",은색,"1,250",옵션
,,,,[ 2018 ],,,,,
2022-02-25,59?일,?올뉴쏘렌토 2WD 2.0 프레스티지,오토,2016.01,경유,"61,179",쥐색,10,옵션
,,,,[ 2016 ],,,,,
2022-02-25,80?일,?쿠퍼D 컨트리맨 SE [무],오토,2013.02,경유,"123,800",빨간색,870,옵션
,,,,[ 2012 ],,,,,
2022-02-25,71?일,?베라쿠르즈 4WD 300VXL 프리미엄,오토,2009.05,경유,"194,000",은색투톤,820,옵션
,,,,[ 2009 ],,,,,
2022-02-25,58?일,?스포티지R 2WD TLX 프리미엄 [무],오토,2011.06,경유,"129,100",검정투톤,790,옵션
,,,,[ 2012 ],,,,,
2022-02-25,45?일,?쏘렌토R 2WD 2.0 LIMITED 고급형 [무],오토,2009.08,경유,"100,428",쥐색,950,옵션
,,,,[ 2010 ],,,,,
2022-02-25,51?일,?올 뉴 카니발 11인승 디럭스 [무],오토,2015.07,경유,"166,700",검정색,"1,220",옵션
,,,,[ 2016 ],,,,,
2022-02-25,34?일,?올 뉴 카니발 11인승 프레스티지,오토,2014.06,경유,"106,580",자주색,"1,360",옵션
,,,,[ 2015 ],,,,,
2022-02-25,31?일,?그랜저HG HG240 LUXURY [무],오토,2011.03,휘발유,"156,900",검정색,690,옵션
,,,,[ 2011 ],,,,,
